HLCIT_CODE_VDC,Apan Dainik,Direct Report,INSEC,Local Newspaper: Achham,Local Newspaper: Banke,Local Newspaper: Bardiya,Local Newspaper: Chitwan,Local Newspaper: Dadheldhura,Local Newspaper: Dang,Local Newspaper: Dhading,Local Newspaper: Dhanusha,Local Newspaper: Jhapa,Local Newspaper: Jumla,Local Newspaper: Kailali,Local Newspaper: Kanchanpur,Local Newspaper: Kaski,Local Newspaper: Khotang,Local Newspaper: Mahottari,Local Newspaper: Makwanpur,Local Newspaper: Morang,Local Newspaper: Palpa,Local Newspaper: Panchthar,Local Newspaper: Parsa,Local Newspaper: Rautahat,Local Newspaper: Rupandehi,Local Newspaper: Saptari,Local Newspaper: Sarlahi,Local Newspaper: Sindhuli,Local Newspaper: Sindhupalchok,Local Newspaper: Siraha,Local Newspaper: Surkhet,National/Online Media,Other sources,Police website
524 1 02 06 3 001,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,10,0,0,1,0,0,6,0,0,0,1,0,21,1,3
524 1 02 06 3 002,0,0,1,0,0,0,2,0,0,0,6,3,0,0,1,0,0,1,0,5,0,0,3,0,0,4,2,0,0,4,0,16,1,1
524 1 02 06 3 003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
524 1 02 06 5 001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
524 1 02 06 5 002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
524 1 02 06 5 003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
524 1 02 06 5 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
524 1 02 06 5 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524 1 02 06 5 007,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
524 1 02 06 5 009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
